SEED,DATA_No,motor_torque,magnet_area
0,0,0.0558,7.45
0,1,0.142,16.4
0,2,0.147,16.7
0,3,0.0556,7.5
0,4,0.133,17.5
0,5,0.163,22.4
0,6,0.0956,11.2
0,7,0.0798,9.29
0,8,0.132,15.6
0,9,0.112,13.6
0,10,0.106,10.9
0,11,0.105,13.7
0,12,0.115,10.8
0,13,0.173,27.9
0,14,0.171,25.6
0,15,0.172,25.3
0,16,0.153,20.3
0,17,0.163,20
0,18,0.121,15.1
0,19,0.111,14.2
0,20,0.161,24.2
0,21,0.0704,8
0,22,0.0932,9.59
0,23,0.153,21.2
0,24,0.138,13.6
0,25,0.153,21.7
0,26,0.107,11.3
0,27,0.0705,6.88
0,28,0.131,15.7
0,29,0.137,13.3
0,30,0.138,13.9
0,31,0.156,16.1
0,32,0.0898,12
0,33,0.16,16.7
0,34,0.156,21
0,35,0.152,16.6
0,36,0.17,21.4
0,37,0.146,17.3
0,38,0.17,26.2
0,39,0.134,13.2
0,40,0.156,15.3
0,41,0.165,21.3
0,42,0.108,10.1
0,43,0.158,20.9
0,44,0.157,14.1
0,45,0.105,11.6
0,46,0.133,14.9
0,47,0.132,12.1
0,48,0.112,11.2
0,49,0.0697,9.26
0,50,0.0988,10
0,51,0.0731,7.53
0,52,0.149,16.5
0,53,0.163,21.3
0,54,0.153,17.7
0,55,0.113,9.72
0,56,0.136,17.7
0,57,0.128,11.3
0,58,0.126,14.4
0,59,0.164,18.7
0,60,0.155,17.9
0,61,0.095,9.23
0,62,0.0609,7.66
0,63,0.16,22.7
0,64,0.163,23.5
0,65,0.103,11.9
0,66,0.153,19.9
0,67,0.152,14
0,68,0.138,16.6
0,69,0.0937,8.27
0,70,0.0443,5.43
0,71,0.173,26.9
0,72,0.0883,8.21
0,73,0.1,10.3
0,74,0.0321,4.47
0,75,0.17,23.2
0,76,0.129,13.5
0,77,0.158,15.9
0,78,0.157,16
0,79,0.168,25.6
0,80,0.173,29.7
0,81,0.127,13.1
0,82,0.171,25.8
0,83,0.0953,9.56
0,84,0.156,21.3
0,85,0.134,12
0,86,0.11,12.1
0,87,0.161,16.4
0,88,0.156,19.8
0,89,0.16,15.7
0,90,0.16,22.2
0,91,0.152,15.9
0,92,0.128,13.8
0,93,0.159,22.3
0,94,0.138,17.8
0,95,0.167,24.2
0,96,0.165,20.4
0,97,0.131,16.8
0,98,0.0623,9.15
0,99,0.0576,6.97
1,0,0.172,26.7
1,1,0.153,15.1
1,2,0.151,16.5
1,3,0.073,8.54
1,4,0.119,13.5
1,5,0.161,18.1
1,6,0.12,9.63
1,7,0.155,17.4
1,8,0.115,14.9
1,9,0.157,20.3
1,10,0.166,25
1,11,0.103,9.7
1,12,0.171,25.3
1,13,0.148,12.5
1,14,0.164,20.3
1,15,0.139,15.5
1,16,0.172,25.8
1,17,0.132,13.7
1,18,0.172,25
1,19,0.169,25.8
1,20,0.141,13.5
1,21,0.169,20.8
1,22,0.113,13.3
1,23,0.171,23.9
1,24,0.134,15
1,25,0.145,18.5
1,26,0.105,12.6
1,27,0.104,9.84
1,28,0.131,13.3
1,29,0.163,22.8
1,30,0.171,21.4
1,31,0.156,18.9
1,32,0.168,21
1,33,0.0919,9.79
1,34,0.16,17.3
1,35,0.154,18.8
1,36,0.117,11.6
1,37,0.109,9.9
1,38,0.17,25.4
1,39,0.172,28
1,40,0.122,15.5
1,41,0.129,11.2
1,42,0.0714,8.47
1,43,0.118,15.3
1,44,0.126,16.2
1,45,0.0653,7.69
1,46,0.161,16.3
1,47,0.166,24.9
1,48,0.0413,5.47
1,49,0.163,22.2
1,50,0.165,17.4
1,51,0.163,16.3
1,52,0.16,23.1
1,53,0.113,11.6
1,54,0.144,12.6
1,55,0.15,15.7
1,56,0.137,16.7
1,57,0.0983,10.9
1,58,0.122,12.1
1,59,0.115,14
1,60,0.0616,6.11
1,61,0.117,13.3
1,62,0.0579,6.92
1,63,0.0545,8.54
1,64,0.167,26.9
1,65,0.125,11.5
1,66,0.148,14.2
1,67,0.16,17.1
1,68,0.153,16
1,69,0.103,11.7
1,70,0.0935,11.1
1,71,0.164,23.2
1,72,0.154,21.9
1,73,0.135,15
1,74,0.0864,9.51
1,75,0.162,20.3
1,76,0.0933,8.37
1,77,0.129,13.7
1,78,0.166,24.5
1,79,0.148,18.4
1,80,0.0576,7.25
1,81,0.0762,8.11
1,82,0.166,25.8
1,83,0.109,10.6
1,84,0.132,16.9
1,85,0.0874,11.5
1,86,0.131,12.4
1,87,0.135,13.1
1,88,0.0938,10.8
1,89,0.0671,7.09
1,90,0.0708,9.66
1,91,0.169,25.2
1,92,0.0664,6.92
1,93,0.126,15.7
1,94,0.16,22.8
1,95,0.0983,9.32
1,96,0.11,12.6
1,97,0.16,19.6
1,98,0.117,12.6
1,99,0.127,14.2
2,0,0.0435,5.08
2,1,0.105,10.5
2,2,0.0767,9.34
2,3,0.14,12.9
2,4,0.119,11.4
2,5,0.123,13.7
2,6,0.0836,8.6
2,7,0.0729,7.05
2,8,0.0893,8.92
2,9,0.151,16
2,10,0.163,23.7
2,11,0.142,16.5
2,12,0.0347,4.42
2,13,0.134,17.3
2,14,0.0864,8.6
2,15,0.155,19.2
2,16,0.171,24.7
2,17,0.138,13.1
2,18,0.169,27.4
2,19,0.168,25.5
2,20,0.128,14.2
2,21,0.115,11.9
2,22,0.164,17.3
2,23,0.083,8.61
2,24,0.139,15.8
2,25,0.0839,9.61
2,26,0.171,27.2
2,27,0.16,15
2,28,0.171,22
2,29,0.157,17.2
2,30,0.17,24.4
2,31,0.156,13.8
2,32,0.119,14.7
2,33,0.166,22.7
2,34,0.123,10.9
2,35,0.118,11.8
2,36,0.155,17.5
2,37,0.0776,9.33
2,38,0.0995,11.3
2,39,0.139,17.7
2,40,0.0656,6.62
2,41,0.167,24.6
2,42,0.167,25.6
2,43,0.147,19.8
2,44,0.138,17.4
2,45,0.103,9.19
